word,ppvt,strgth,close,betw,eigen,degree,freq
ball,1,3.901518873986788,257.0770104445403,163.0,0.5625316333087461,63,10
dog,2,5.648417170741595,181.17990687368774,0.0,0.9725167388413581,55,66
spoon,3,5.6446719251107424,170.62279563849114,3.0,0.748753645846876,60,7
foot,4,4.642986052669585,116.11587315242954,0.0,0.7262132862952745,58,29
duck,5,4.410067679011263,279.62873376557116,262.0,0.7061339050743229,61,17
banana,6,3.0767113989459176,189.38266860492865,104.0,0.44625345981654946,66,1
shoe,7,3.1010435417410918,250.14629436677058,187.0,0.455765904394721,69,10
cup,8,5.563688782509416,142.88491170582842,1.0,0.7362193483569223,57,18
bus,10,3.045222366345115,232.5666269886241,63.0,0.44542652925916315,70,43
flower,11,5.958707849495113,160.4224773019116,0.0,0.9999999999999999,50,27
mouth,12,4.365693285828456,152.53686784345376,1.0,0.7104836247328251,60,13
pencil,13,4.190310995923937,260.88897050150143,302.0,0.6311386708003697,61,1
cookie,14,3.5591594830329996,279.4605944008426,216.0,0.5183579262601945,68,8
drum,15,4.015126900339965,161.8575625489341,55.0,0.5930933501956879,65,1
turtle,16,5.123591868323274,228.08247249588436,161.0,0.8734659241634276,60,3
red,17,5.016141365180374,206.78127046031864,73.0,0.8102656084618468,57,48
jumping,18,2.961030193953775,271.08033864812126,294.0,0.4404118125078135,70,3
carrot,19,5.108325804991182,229.01529525407094,17.0,0.8339753538901988,56,7
toe,21,5.425719756633043,186.11947817739411,85.0,0.7872472201640539,57,6
fly,23,4.740340647986159,137.95140085566203,0.0,0.7475379148079868,61,81
painting,24,3.390677096627769,268.0630986256952,288.0,0.4841609851588034,69,2
whistle,26,5.235919121347251,215.22547578262927,266.0,0.8530513104498972,53,3
lamp,28,3.1982195083692204,273.23770929020424,128.0,0.47549230202583204,70,1
square,29,4.766719686100259,162.50445917657154,0.0,0.7422652648251503,59,8
fence,30,4.0856252182566095,257.4503109711011,0.0,0.6336809950057951,58,15
empty,31,5.60420392442029,165.07088841020098,8.0,0.9671649684963315,53,12
happy,32,4.037689003394917,139.8449421801965,0.0,0.6599064509981165,61,27
fire,33,5.490409498452209,168.97028718829003,0.0,0.896106219642176,52,12
castle,34,3.749135374557227,163.67345985110327,2.0,0.571100415767647,67,6
farm,37,4.853726466069929,203.43532305088078,89.0,0.7867616570992237,58,8
penguin,38,3.20512177888304,151.1368719546122,0.0,0.4703225161259627,69,4
gift,39,4.124792559683556,179.5424554626494,13.0,0.6917236845086346,60,9
feather,40,4.088463620631956,176.7104363699968,10.0,0.630307434498241,59,4
elbow,42,3.460346867213957,256.59648752095467,18.0,0.5134097675381516,68,1
net,45,3.2463939813897014,236.37738699135966,109.0,0.48105332294397196,68,4
shoulder,46,5.51358545885887,206.30871170608137,0.0,0.9015571590046458,57,3
roof,48,3.2632667273283005,170.6826058300114,4.0,0.4695371433521751,70,1
ruler,50,2.9099883671151474,242.48186436227883,155.0,0.43003053890953946,69,1
tunnel,51,2.9891678980202414,253.90453864766795,51.0,0.44161581982229553,70,3
branch,52,4.589212832361227,220.9687839747363,64.0,0.7364943240534118,60,14
diamond,54,3.033395368605852,227.12301565132356,154.0,0.45439339325384265,69,1
vest,59,3.348470853321487,305.71725035348845,699.0,0.5087966610711868,68,1
picking,61,5.19924478844041,141.9927669838953,2.0,0.8595071920047213,56,1
dentist,67,2.7896748672937974,182.18760324170782,0.0,0.4191822476705948,71,2
claw,69,2.6414559950935654,281.4218754381011,397.0,0.38379946799879294,69,3
uniform,70,3.1869017943681683,238.10396773394604,185.0,0.4802889796094494,71,1
gigantic,71,3.6704841427708743,249.3433737217475,136.0,0.5390834618877806,63,2
furry,72,5.6456616062205285,176.78451415066783,0.0,0.9461450339685721,52,3
ax,79,3.2997474957373925,192.75058069682362,123.0,0.49468899112730497,69,1
vegetable,84,3.540670662696357,265.80193960639036,292.0,0.5072241305518197,69,1
hyena,85,3.9755004855105653,156.6739121227563,1.0,0.5686971176384951,63,1
river,87,3.9360332948999712,272.11600562059664,462.0,0.6259978406024252,65,6
trunk,90,5.158557903429028,199.98018305414973,141.0,0.7572848953424904,58,11
vase,91,5.17451480566524,139.46306197789016,0.0,0.8318575944487253,60,2
bloom,93,3.3374682241119444,164.65243166217786,0.0,0.4988774278179545,71,3
swamp,95,3.4674637349671684,254.09559056715057,234.0,0.5301118551353934,68,1
heart,96,3.21709533338435,188.48911422843696,171.0,0.4587601649740447,67,3
pigeon,97,3.917558822839055,147.94714007901118,7.0,0.6168944558260437,64,4
safe,103,4.730424655135721,100.27526977723721,0.0,0.7423536017683444,62,11
boulder,104,3.2558160925109405,285.8655612557081,404.0,0.46646245634947375,71,1
luggage,109,3.545331058121519,201.19358921436466,33.0,0.5145717699044884,66,1
vine,111,4.495760190737201,231.14982750957327,29.0,0.7208490713859038,59,2
palm,117,3.237584456335753,146.304340449887,0.0,0.48172302596967703,70,1
clarinet,118,3.512487963263993,258.8072187023957,308.0,0.5324483358154236,66,1
valley,119,3.7435915854293853,161.04154171477194,19.0,0.5583194438671544,65,5
pastry,122,3.277576945198234,246.70031923256528,120.0,0.5036388364830562,69,1
trumpet,131,3.7234048105492548,189.30547518345332,65.0,0.5376747629797294,66,1
coast,137,3.217744114343077,185.50672215213135,65.0,0.4711644354967914,71,2
mammal,140,5.019222022845497,278.69097432563456,259.0,0.8306791253019103,54,4
pedestrian,145,3.0168458554544486,304.54334338653433,575.0,0.4439449050684887,71,1
weary,159,3.6344436200452037,151.2510351415767,62.0,0.5478228900787993,71,2
lever,181,3.794259933867579,280.4558423156094,426.0,0.533376077888636,67,1
wedge,185,3.671013746643439,145.49795601411302,1.0,0.5538484034676336,63,1
barb,201,4.008980631711893,165.1527843164734,16.0,0.6000251849225408,64,1
dromedary,216,2.667583319125697,145.83092954420408,0.0,0.3808820208918906,72,2
